Timestamp,Episode,Task,Reward
2026-01-18 17:15:22.056189,1,cartpole,13.0
2026-01-18 17:15:22.073812,2,cartpole,19.0
2026-01-18 17:15:22.205228,3,mountaincar,-200.0
2026-01-18 17:15:22.223084,4,cartpole,19.0
2026-01-18 17:15:22.239611,5,cartpole,12.0
2026-01-18 17:15:22.379625,6,mountaincar,-200.0
2026-01-18 17:15:22.545331,7,mountaincar,-200.0
2026-01-18 17:15:22.587903,8,cartpole,41.0
2026-01-18 17:15:22.734469,9,mountaincar,-200.0
2026-01-18 17:15:22.868744,10,mountaincar,-200.0
2026-01-18 17:15:22.884880,11,cartpole,18.0
2026-01-18 17:15:22.908578,12,cartpole,21.0
2026-01-18 17:15:23.059195,13,mountaincar,-200.0
2026-01-18 17:15:23.106107,14,cartpole,59.0
2026-01-18 17:15:23.256405,15,mountaincar,-200.0
2026-01-18 17:15:23.270227,16,cartpole,10.0
2026-01-18 17:15:23.430766,17,mountaincar,-200.0
2026-01-18 17:15:23.594326,18,mountaincar,-200.0
2026-01-18 17:15:23.626797,19,cartpole,18.0
2026-01-18 17:15:23.775782,20,mountaincar,-200.0
2026-01-18 17:15:23.808857,21,cartpole,16.0
2026-01-18 17:15:23.837161,22,cartpole,18.0
2026-01-18 17:15:23.987249,23,mountaincar,-200.0
2026-01-18 17:15:24.190193,24,mountaincar,-200.0
2026-01-18 17:15:24.234488,25,cartpole,17.0
2026-01-18 17:15:24.506816,26,mountaincar,-200.0
2026-01-18 17:15:24.763022,27,mountaincar,-200.0
2026-01-18 17:15:24.805299,28,cartpole,12.0
2026-01-18 17:15:24.985441,29,mountaincar,-200.0
2026-01-18 17:15:25.220780,30,mountaincar,-200.0
2026-01-18 17:15:25.419840,31,mountaincar,-200.0
2026-01-18 17:15:25.455176,32,cartpole,27.0
2026-01-18 17:15:25.485719,33,cartpole,13.0
2026-01-18 17:15:25.570493,34,cartpole,13.0
2026-01-18 17:15:25.611401,35,cartpole,28.0
2026-01-18 17:15:25.636693,36,cartpole,12.0
2026-01-18 17:15:25.796725,37,mountaincar,-200.0
2026-01-18 17:15:25.936822,38,mountaincar,-200.0
2026-01-18 17:15:26.106784,39,mountaincar,-200.0
2026-01-18 17:15:26.290303,40,mountaincar,-200.0
2026-01-18 17:15:26.305028,41,cartpole,10.0
2026-01-18 17:15:26.497564,42,mountaincar,-200.0
2026-01-18 17:15:26.529363,43,cartpole,24.0
2026-01-18 17:15:26.547829,44,cartpole,14.0
2026-01-18 17:15:26.573857,45,cartpole,22.0
2026-01-18 17:15:26.592611,46,cartpole,10.0
2026-01-18 17:15:26.625903,47,cartpole,28.0
2026-01-18 17:15:26.650570,48,cartpole,22.0
2026-01-18 17:15:26.806747,49,mountaincar,-200.0
2026-01-18 17:15:26.826574,50,cartpole,8.0
